977,17
977,47
977,76
978,13
978,17
978,21
978,30
978,32
978,77
979,17
979,76
980,21
981,13
981,17
981,30
981,42
981,76
982,13
982,17
982,47
982,72
982,76
983,21
983,72
983,76
984,72
985,17
985,21
985,30
985,42
985,76
985,78
986,32
987,13
987,30
987,66
987,72
988,13
988,26
988,76
989,13
989,72
989,76
990,13
990,21
991,30
992,13
992,78
993,9
993,13
993,21
993,46
993,72
993,76
994,13
994,21
994,66
995,13
995,21
996,13
996,21
996,72
996,76
997,13
997,21
997,66
998,13
998,66
999,68
1000,17
1000,76
1001,47
1001,64
1002,11
1002,13
1002,47
1002,61
1003,13
1003,30
1003,32
1004,72
1004,76
1005,72
1005,76
1006,26
1006,34
1006,68
1007,21
1007,77
1007,78
1008,11
1008,72
1008,76
1009,21
1010,76
1011,30
1011,64
1012,76
1013,11
1013,21
1013,30
1014,30
1015,72
1015,76
1016,13
1017,47
1018,13
1018,21
1019,13
1020,17
1020,47
1020,76
1021,13
1021,66
1021,72
1021,76
1022,13
1022,17
1022,76
1023,13
1023,76
1024,11
1025,11
1025,13
1025,21
1025,47
1025,63
1025,64
1025,72
1025,76
1025,77
1025,78
1026,10
1026,13
1026,17
1026,21
1026,30
1026,44
1026,46
1026,47
1026,53
1026,68
1026,72
1026,76
1026,77
1027,30
1028,13
1028,21
1028,26
1028,30
1028,32
1028,68
1028,77
1028,78
1029,11
1029,21
1029,26
1029,77
1029,78
1030,21
1030,26
1030,30
1030,77
1030,78
1031,13
1031,18
1031,21
1031,25
1031,76
1031,77
1031,78
1032,13
1032,21
1032,30
1032,47
1033,32
1034,13
1034,21
1034,32
1034,47
1035,11
1035,30
1036,13
1036,66
1036,72
1036,76
1037,30
1037,47
1037,76
1038,11
1039,13
1039,21
1039,30
1040,13
1041,13
1041,21
1041,30
1041,32
1042,7
1043,21
1043,76
1044,21
1044,76
1045,10
1045,17
1045,21
1046,30
1047,13
1047,76
1048,30
1049,13
1049,72
1049,76
1050,13
1050,47
1050,76
1051,13
1051,25
1052,21
1052,30
1052,76
1053,30
1053,47
1053,66
1053,76
1054,13
1054,17
1054,18
1054,21
1054,32
1054,44
1054,64
1054,66
1054,72
1054,76
1055,21
1055,26
1055,72
1055,76
1055,77
1055,78
1056,13
1056,21
1056,72
1056,76
1057,13
1057,32
1057,64
1057,66
1058,13
1058,21
1058,47
1058,62
1058,70
1058,72
1058,76
1059,25
1060,13
1060,17
1060,21
1060,76
1060,77
1060,78
1061,66
1062,21
1062,72
1062,76
1063,13
1064,68
1065,11
1065,13
1066,16
1066,21
1066,30
1066,47
1066,59
1066,72
1066,76
1067,11
1068,11
1068,64
1069,13
1069,21
1069,32
1069,47
1069,53
1069,64
1070,13
1070,15
1070,17
1070,30
1070,32
1070,45
1070,64
1070,76
1071,13
1071,32
1071,64
1072,11
1073,30
1074,30
1074,32
1074,64
1074,66
1075,24
1075,66
1075,68
1076,68
1077,17
1078,11
1079,17
1080,13
1081,13
1081,21
1082,76
1083,13
1084,11
1085,13
1086,47
1087,11
1087,21
1087,30
1087,32
1087,76
1087,77
1087,78
1088,32
1089,11
1090,30
1091,47
1092,13
1093,13
1094,13
1094,17
1094,21
1094,47
1095,11
1095,13
1096,13
1097,13
1098,13
1098,21
1099,11
1100,32
1101,30
1101,76
1102,11
1103,11
1104,11
1105,11
1106,17
1106,76
1107,13
1108,11
1109,11
1110,13
1110,17
1110,21
1111,11
1112,17
1112,21
1113,13
1114,13
1115,30
1116,11
1117,68
1118,21
1118,30
1118,64
1119,1
1119,13
1119,21
1119,26
1119,30
1119,47
1119,64
1119,68
1119,76
1119,77
1120,17
1120,47
1120,76
1121,11
1122,32
1123,13
1124,11
1124,21
1124,26
1125,13
1125,32
1125,72
1125,76
1126,13
1126,17
1126,30
1126,32
1126,76
1127,13
1127,21
1128,21
1128,47
1129,32
1130,13
1130,72
1130,76
1131,17
1131,25
1131,76
1132,11
1133,17
1133,76
1133,78
1134,25
1135,13
1135,17
1135,76
1136,21
1137,11
1137,13
1137,17
1137,30
1137,32
1137,64
1137,72
1137,76
1138,13
1139,21
1139,32
1140,11
1140,13
1140,66
1141,21
1142,13
1142,21
1142,47
1143,21
1143,32
1144,13
1144,17
1144,47
1144,64
1144,76
1145,10
1145,13
1145,17
1145,76
1146,13
1146,18
1146,19
1146,21
1146,26
1146,47
1146,66
1146,68
1146,72
1146,77
1146,78
1147,30
1147,47
1148,11
1148,13
1148,18
1148,21
1148,30
1148,47
1148,64
1148,66
1148,68
1148,77
1149,17
1149,66
1149,76
1150,1
1150,13
1150,17
1150,21
1150,64
1150,66
1151,68
1152,64
1153,13
1154,64
1155,21
1156,64
1157,64
1158,64
1159,64
1160,64
1161,64
1162,25
1163,64
1164,21
1165,21
1165,64
1166,64
1167,64
1168,21
1168,47
1169,21
1170,64
1171,64
1172,64
1173,64
1174,64
1175,64
1176,64
1177,21
1178,64
1179,64
1180,64
1181,64
1182,64
1183,64
1184,64
1185,25
1186,64
1187,64
1188,64
1189,64
1190,30
1191,21
1192,21
1193,64
1194,64
1195,64
1196,64
1197,64
1198,64
1199,64
1200,64
1201,64
1202,47
1203,64
1204,64
1205,64
1206,64
1207,25
1207,64
1208,64
1209,64
1210,64
1211,64
1212,64
1213,64
1214,64
1215,64
1216,64

